Car_Make,Car_Model,Year,Body_Type,Color_Options,Fuel_Type,Engine_Size_L,Horsepower,Torque_Nm,Transmission_Type,Top_Speed_mph,Mileage_MPG,Safety_Features,Entertainment_Features,Interior_Features,Exterior_Features,Price,Customer_Ratings,Sales_Figures_Units_Sold,Revenue,0-60_Time
Honda,Fit,2023,Hatchback,Blue; Black; Gray,Gasoline,1.5,128,139,CVT,115,36,ABS; Airbags; Collision Mitigation Braking System; Road Departure Mitigation,7-inch Touchscreen Display,Cloth Seats; Keyless Entry; Push Button Start,LED Daytime Running Lights;16-inch Alloy Wheels,17600,4.599999905,2400,42240000,8.8
Nissan,Versa,2023,Sedan,White; Gray; Black,Gasoline,1.600000024,122,114,CVT,115,35,ABS; Airbags; Automatic Emergency Braking; Lane Departure Warning,7-inch Touchscreen Display,Cloth Seats; Keyless Entry; Push Button Start,LED Daytime Running Lights;16-inch Alloy Wheels,19490,4.599999905,2100,40929000,9.9
Hyundai,Venue,2023,SUV,Black; Gray; White,Gasoline,1.600000024,121,113,CVT,115,35,ABS; Airbags; Forward Collision-Avoidance Assist; Lane Keeping Assist,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Windows,LED Daytime Running Lights;17-inch Alloy Wheels,20400,4.599999905,2300,46920000,10.1
Nissan,Sentra,2023,Sedan,Red; Black; Blue,Gasoline,2,149,198,CVT,125,35,ABS; Airbags; Intelligent Forward Collision Warning,7-inch Touchscreen Display,Cloth Seats; Power Windows; Keyless Entry,LED Daytime Running Lights;16-inch Alloy Wheels,20450,4.599999905,2600,53170000,8.7
Kia,Soul,2023,Hatchback,Black; Gray; White,Gasoline,2,147,132,CVT,115,32,ABS; Airbags; Forward Collision Avoidance Assist; Lane Keeping Assist,8-inch Touchscreen Display,Cloth Seats; Power Windows; Keyless Entry,LED Daytime Running Lights;17-inch Alloy Wheels,21490,4.599999905,2200,47278000,9.9
Honda,Civic,2023,Sedan,Red; Black; Silver,Gasoline,2,158,138,CVT,120,36,ABS; Airbags; Collision Mitigation Braking System; Lane Keeping Assist,7-inch Touchscreen Display,Cloth Seats; Power Windows; Keyless Entry,LED Daytime Running Lights;16-inch Alloy Wheels,21700,4.699999809,2300,49910000,8.2
Ford,Maverick,2023,Truck,Red; Black; Gray,Gasoline,2.5,191,155,Automatic,130,37,ABS; Airbags; Ford Co-Pilot360; Rear View Camera,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Mirrors,LED Taillights; Bedliner;17-inch Alloy Wheels,21820,4.800000191,1700,37094000,8.7
Volkswagen,Jetta,2023,Sedan,White; Black; Silver,Gasoline,1.399999976,147,250,Automatic,130,33,ABS; Airbags; Blind Spot Monitor; Rear View Camera,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Windows,LED Headlights;16-inch Alloy Wheels,22495,4.599999905,2500,56237500,8.4
Chevrolet,Trax,2023,SUV,Silver; Red; Black,Gasoline,1.399999976,138,148,Automatic,120,31,ABS; Airbags; StabiliTrak Electronic Stability Control; Rear Vision Camera,7-inch Infotainment System,Cloth Seats; Keyless Entry; Power Mirrors,LED Daytime Running Lights;16-inch Alloy Wheels,22595,4.599999905,2400,54228000,9.3
Honda,Civic,2023,Sedan,Black; Blue; Silver,Gasoline,1.799999952,158,180,CVT,120,36,ABS; Airbags; Lane Departure Warning; Rear Cross Traffic Alert,7-inch Display Audio System,Cloth Seats; Bluetooth Connectivity; Push Button Start,LED Daytime Running Lights; Alloy Wheels,22950,4.599999905,2800,64260000,8.2
Subaru,Legacy,2023,Sedan,Blue; White; Gray,Gasoline,2.400000095,182,176,CVT,130,35,ABS; Airbags; EyeSight Driver Assist Technology; Rear Vision Camera,11.6-inch STARLINK Display,Cloth Seats; Keyless Entry; Dual-Zone Climate Control,LED Headlights;17-inch Alloy Wheels,22995,4.699999809,1500,34492500,8.9
